DATAFLOW,LAST UPDATE,freq,unit,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ILC_PEPS01(1.0),11/11/22 23:00:00,A,THS_PER,TOTAL,T,FR,2019,11120,
ESTAT:ILC_PEPS01(1.0),11/11/22 23:00:00,A,THS_PER,TOTAL,T,FR,2020,11779,b
ESTAT:ILC_PEPS01(1.0),11/11/22 23:00:00,A,THS_PER,TOTAL,T,HR,2019,939,
ESTAT:ILC_PEPS01(1.0),11/11/22 23:00:00,A,THS_PER,TOTAL,T,HR,2020,914,
ESTAT:ILC_PEPS01(1.0),11/11/22 23:00:00,A,THS_PER,TOTAL,T,HU,2019,1808,
ESTAT:ILC_PEPS01(1.0),11/11/22 23:00:00,A,THS_PER,TOTAL,T,HU,2020,1701,
ESTAT:ILC_PEPS01(1.0),11/11/22 23:00:00,A,THS_PER,TOTAL,T,IE,2019,1014,
ESTAT:ILC_PEPS01(1.0),11/11/22 23:00:00,A,THS_PER,TOTAL,T,IE,2020,1001,b
ESTAT:ILC_PEPS01(1.0),11/11/22 23:00:00,A,THS_PER,TOTAL,T,IT,2019,15388,
ESTAT:ILC_PEPS01(1.0),11/11/22 23:00:00,A,THS_PER,TOTAL,T,IT,2020,15051,
ESTAT:ILC_PEPS01(1.0),11/11/22 23:00:00,A,THS_PER,TOTAL,T,LT,2019,734,
ESTAT:ILC_PEPS01(1.0),11/11/22 23:00:00,A,THS_PER,TOTAL,T,LT,2020,692,
ESTAT:ILC_PEPS01(1.0),11/11/22 23:00:00,A,THS_PER,TOTAL,T,LU,2019,122,
ESTAT:ILC_PEPS01(1.0),11/11/22 23:00:00,A,THS_PER,TOTAL,T,LU,2020,125,b
ESTAT:ILC_PEPS01(1.0),11/11/22 23:00:00,A,THS_PER,TOTAL,T,LV,2019,518,
ESTAT:ILC_PEPS01(1.0),11/11/22 23:00:00,A,THS_PER,TOTAL,T,LV,2020,489,
ESTAT:ILC_PEPS01(1.0),11/11/22 23:00:00,A,THS_PER,TOTAL,T,ME,2019,189,
ESTAT:ILC_PEPS01(1.0),11/11/22 23:00:00,A,THS_PER,TOTAL,T,ME,2020,191,
ESTAT:ILC_PEPS01(1.0),11/11/22 23:00:00,A,THS_PER,TOTAL,T,MK,2019,829,
ESTAT:ILC_PEPS01(1.0),11/11/22 23:00:00,A,THS_PER,TOTAL,T,MK,2020,825,
ESTAT:ILC_PEPS01(1.0),11/11/22 23:00:00,A,THS_PER,TOTAL,T,MT,2019,97,
ESTAT:ILC_PEPS01(1.0),11/11/22 23:00:00,A,THS_PER,TOTAL,T,MT,2020,96,
ESTAT:ILC_PEPS01(1.0),11/11/22 23:00:00,A,THS_PER,TOTAL,T,NL,2019,2812,
ESTAT:ILC_PEPS01(1.0),11/11/22 23:00:00,A,THS_PER,TOTAL,T,NL,2020,2761,
ESTAT:ILC_PEPS01(1.0),11/11/22 23:00:00,A,THS_PER,TOTAL,T,NO,2019,860,
ESTAT:ILC_PEPS01(1.0),11/11/22 23:00:00,A,THS_PER,TOTAL,T,NO,2020,853,
ESTAT:ILC_PEPS01(1.0),11/11/22 23:00:00,A,THS_PER,TOTAL,T,PL,2019,6691,
ESTAT:ILC_PEPS01(1.0),11/11/22 23:00:00,A,THS_PER,TOTAL,T,PL,2020,6431,
ESTAT:ILC_PEPS01(1.0),11/11/22 23:00:00,A,THS_PER,TOTAL,T,PT,2019,2215,
ESTAT:ILC_PEPS01(1.0),11/11/22 23:00:00,A,THS_PER,TOTAL,T,PT,2020,2036,
ESTAT:ILC_PEPS01(1.0),11/11/22 23:00:00,A,THS_PER,TOTAL,T,RO,2019,6073,
ESTAT:ILC_PEPS01(1.0),11/11/22 23:00:00,A,THS_PER,TOTAL,T,RO,2020,5873,
ESTAT:ILC_PEPS01(1.0),11/11/22 23:00:00,A,THS_PER,TOTAL,T,RS,2019,2195,
ESTAT:ILC_PEPS01(1.0),11/11/22 23:00:00,A,THS_PER,TOTAL,T,RS,2020,2048,
ESTAT:ILC_PEPS01(1.0),11/11/22 23:00:00,A,THS_PER,TOTAL,T,SE,2019,1919,
ESTAT:ILC_PEPS01(1.0),11/11/22 23:00:00,A,THS_PER,TOTAL,T,SE,2020,1846,
ESTAT:ILC_PEPS01(1.0),11/11/22 23:00:00,A,THS_PER,TOTAL,T,SI,2019,293,
ESTAT:ILC_PEPS01(1.0),11/11/22 23:00:00,A,THS_PER,TOTAL,T,SI,2020,309,
ESTAT:ILC_PEPS01(1.0),11/11/22 23:00:00,A,THS_PER,TOTAL,T,SK,2019,877,
ESTAT:ILC_PEPS01(1.0),11/11/22 23:00:00,A,THS_PER,TOTAL,T,SK,2020,798,
ESTAT:ILC_PEPS01(1.0),11/11/22 23:00:00,A,THS_PER,TOTAL,T,TR,2019,32106,
ESTAT:ILC_PEPS01(1.0),11/11/22 23:00:00,A,THS_PER,TOTAL,T,TR,2020,33991,
